Date,Open,High,Low,Close,Volume,Adj Close
1993/12/9,31.749999,32.000001,29.75,29.999999,45690400,0.972626
1993/12/8,32.000001,32.25,31.5,31.874999,9898000,1.033415
1993/12/7,32.000001,32.25,31.5,32.25,15962800,1.045573
1993/12/6,31.5,32.5,31.250001,32.25,39244800,1.045573
1993/12/3,31.749999,32.000001,30.999999,31.5,30116800,1.021257
1993/12/2,31.749999,32.000001,30.999999,31.749999,25163600,1.029362
1993/12/1,32.000001,32.25,31.250001,31.5,27804000,1.021257
1993/11/30,31.749999,32.624999,31.5,31.5,28165200,1.021257
1993/11/29,32.25,32.5,31.5,31.749999,24178000,1.029362
1993/11/26,32.749999,33.000001,32.25,32.624999,10861200,1.057731
1993/11/24,32.749999,33.499999,32.624999,33.000001,22610000,1.069889
1993/11/23,32.5,33.000001,31.250001,33.000001,46541600,1.069889
1993/11/22,32.749999,33.000001,32.25,32.5,37651600,1.053678
1993/11/19,33.000001,33.499999,32.5,33.000001,30741200,1.069889
1993/11/18,33.499999,33.750001,33.000001,33.499999,28602000,1.082204
1993/11/17,34,35,32.749999,33.499999,75656000,1.082204
1993/11/16,32.000001,34.25,31.749999,34,75770800,1.098357
1993/11/15,31.5,32.749999,31.5,32.000001,39275600,1.033748
1993/11/12,31.5,32.000001,30.5,31.749999,35915600,1.025671
1993/11/11,30.75,32.000001,30.5,31.375,35607600,1.013557
1993/11/10,30.250001,30.75,29.999999,30.75,19244400,0.993367
1993/11/9,30.999999,31.250001,29.75,30.124999,42812000,0.973176
1993/11/8,32.000001,32.125001,30.5,30.75,41748000,0.993367
1993/11/5,31.874999,32.25,30.75,31.874999,94508400,1.029709
1993/11/4,31.5,32.25,30.75,32.25,46342800,1.041824
1993/11/3,33.000001,33.000001,30.999999,31.625,44240000,1.021633
1993/11/2,31.250001,33.000001,30.999999,32.749999,56061600,1.057976
1993/11/1,30.75,31.5,30.250001,31.5,26493600,1.017595
1993/10/29,30.999999,31.749999,30.5,30.75,34216000,0.993367
1993/10/28,31.749999,32.25,30.999999,30.999999,61115600,1.001443
1993/10/27,29.999999,32.25,29.75,31.749999,114766400,1.025671
1993/10/26,29.75,29.999999,29,29.75,55619200,0.961062
1993/10/25,30.250001,30.5,29.625,29.999999,54782000,0.969138
1993/10/22,30.5,31.5,29.75,30.250001,99019200,0.977215
1993/10/21,27.5,31.250001,27.25,30.250001,156777600,0.977215
1993/10/20,28,28.249999,27.25,27.749999,34602400,0.896453
1993/10/19,28.249999,28.500001,27.25,27.749999,53393200,0.896453
1993/10/18,28,28.75,27.749999,28.374999,83249600,0.916643
1993/10/15,27.749999,28.500001,26.75,28.249999,238812000,0.912605
1993/10/14,24,24.5,23.5,23.75,40171600,0.767235
1993/10/13,24.249999,24.249999,23.5,24,44251200,0.775311
1993/10/12,24,25,23.75,24,76585600,0.775311
1993/10/11,22.75,24,22.75,23.75,40286400,0.767235
1993/10/8,23.25,23.25,22.25,22.625,34851600,0.730892
1993/10/7,23.5,23.75,22.75,23.000001,33726000,0.743006
1993/10/6,23.75,24,23.374999,23.625,43820000,0.763196
1993/10/5,23.000001,24,23.000001,23.5,44077600,0.759158
1993/10/4,22.625,23.000001,22,22.75,48210400,0.73493
1993/10/1,22.75,23.000001,22.499999,22.75,83997200,0.73493
1993/9/30,24,24,23.000001,23.374999,68726000,0.75512
1993/9/29,24.249999,24.875,23.75,23.875001,59186400,0.771273
1993/9/28,24.750001,25,24.249999,24.750001,23637600,0.799539
1993/9/27,25,25.25,24.249999,24.750001,28294000,0.799539
1993/9/24,25,25.25,24.5,25,19143600,0.807615
1993/9/23,25.5,25.5,24.5,24.750001,32737600,0.799539
1993/9/22,24.249999,25.5,24.249999,25.5,27622000,0.823768
1993/9/21,24.750001,25.25,23.875001,24.5,36624000,0.791463
1993/9/20,25.25,25.5,24.750001,24.875,27759200,0.803577
1993/9/17,24.375,25.5,24.249999,25.25,43008000,0.815691
1993/9/16,24.249999,25,24.249999,24.750001,21490000,0.799539
1993/9/15,24.5,25,23.5,24.5,64430800,0.791463
1993/9/14,24.249999,25,24,24.249999,69160000,0.783387
1993/9/13,26.25,26.500001,24.750001,25.25,63946400,0.815691
